title,price,currency,rooms,area_m2,district,subdistrict,floor,total_floors,furnished,property_type,posted_date,url
,300,у.е.,1,,Шайхантахурский район,,,,,,16 декабря 2025,https://www.olx.uz/d/obyavlenie/sdaetsya-samarkand-darvoza-orentir-uch-chinor-restaran-tolka-semya-ID4f1zl.html
,1000,у.е.,3,77,Яккасарайский район,,,,,,15 декабря 2025,https://www.olx.uz/d/obyavlenie/kvartira-izharaga-beriladi-yangi-remont-ID496ff.html
,500,у.е.,,40,Яккасарайский район,,,,,,16 декабря 2025,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-ID4bvKj.html
,600,у.е.,3,,Мирзо-Улугбекский район,,,,,,Сегодня,https://www.olx.uz/d/obyavlenie/sdaetsya-3h-komnatnaya-kvartira-na-m-gorkogo-ID3f6rU.html
,650,$,2,,Яшнабадский район,,,,,,Сегодня,https://www.olx.uz/d/obyavlenie/arenda-2-komnatnoy-kvartiry-vzhk-new-life-mahtumkuli-it-park-tashselmash-ID4ef2x.html
,750,$,3,,Яшнабадский район,,3,3,,,Сегодня,https://www.olx.uz/d/obyavlenie/arenda-3-komnatnaya-85kv-vzhk-parkentskiy-goldenhouse-tsialkovskiy-korzi-ID4ef2r.html
,100000,сум,,25,Яккасарайский район,,2,3,,,Сегодня,https://www.olx.uz/d/obyavlenie/bez-makler-mehmonhona-gosinittsa-hostel-otel-mexmonxona-hostel-ID4emlr.html
,750,у.е.,2,,Мирзо-Улугбекский район,,2,2,,,Сегодня,https://www.olx.uz/d/obyavlenie/sdaetsya-uyutnaya-2-komnatnaya-vzhk-parkentskiy-golden-house-ul-tsialkovskaya-ID4ef2c.html
,800,у.е.,3,,Мирзо-Улугбекский район,,,,,,Сегодня,https://www.olx.uz/d/obyavlenie/3h-komnatnaya-v-zhk-dinastiya-okolo-tenge-bank-parkentskiy-rynok-ID4eAuM.html
,100,у.е.,3,1,Мирзо-Улугбекский район,,,,,,Сегодня,https://www.olx.uz/d/obyavlenie/3-xona-kv-sherikchilikga-ID4dkTk.html
,600,у.е.,2,45,Чиланзарский район,,,,,,Сегодня,https://www.olx.uz/d/obyavlenie/sdam-2h-komnatnuyu-evrokvartiru-metro-novza-ID4f2Uj.html
,350,у.е.,9,60,Сергелийский район,,,,,,Сегодня,https://www.olx.uz/d/obyavlenie/sergili-9hudud-90kvadrat-3hona-metroni-3bekati-arenda-350d-ID3xZYf.html
,350,у.е.,2,50,Сергелийский район,,,,,,Сегодня,https://www.olx.uz/d/obyavlenie/sergili-moshina-bozor-orkasida-metroni-2chi-bekati-2h-350d-arenda-ID3mxJ7.html
,1000,у.е.,3,,Шайхантахурский район,,,,,,13 декабря 2025,https://www.olx.uz/d/obyavlenie/zhk-tashkent-siti-bulvar-novaya-kvartira-3-h-ID46QGo.html
,550,$,2,42,Юнусабадский район,,2,4,,,15 декабря 2025,https://www.olx.uz/d/obyavlenie/arenda-kvartera-yunusobod-metro-2-xonali-uy-bez-makler-ID4eA76.html
,2000,у.е.,,,Мирабадский район,,4,6,,,11 декабря 2025,https://www.olx.uz/d/obyavlenie/ul-tarasa-shevchenko-gabus-sdaetsya-novaya-kvartira-v-tsentre-goroda-ID4dvix.html
,350,у.е.,2,40,Сергелийский район,,,,,,Сегодня,https://www.olx.uz/d/obyavlenie/cergili-choshtepa-metroni-birinchi-bekati-2-hona-oilaga-350d-ID3y0z1.html
,350,у.е.,1,20,Сергелийский район,,,,,,Сегодня,https://www.olx.uz/d/obyavlenie/sergili-choshtepa-metroni-birinchi-bekati-1-hona-arenda-350d-oilaga-ID3y0vi.html
,350,у.е.,1,10,Сергелийский район,,,,,,Сегодня,https://www.olx.uz/d/obyavlenie/sergili-choshtepa-metroni-1hona-350d-ID44i5G.html
,400,у.е.,2,30,Сергелийский район,,,,,,Сегодня,https://www.olx.uz/d/obyavlenie/sergili-choshtepa-arenda-2hona-400d-srochni-oilaga-eki-bezaksga-ID2yVNQ.html
,350,у.е.,2,40,Сергелийский район,,,,,,Сегодня,https://www.olx.uz/d/obyavlenie/kuylik-massiv-5-bozorcha-2hona-arenda-350d-luboyiga-beramiz-ID3b9XD.html
,350,у.е.,2,40,Сергелийский район,,,,,,Сегодня,https://www.olx.uz/d/obyavlenie/sergili-moshina-bozor-orkasida-6a-mavzesi-2hona-2etazh-350d-ID3Bkfm.html
,350,у.е.,1,16,Сергелийский район,,,,,,Сегодня,https://www.olx.uz/d/obyavlenie/sergili-metroni-birinchi-bekati-choshtepa-arenda-1hona-350d-studnetlarga-ID38vyz.html
,300,у.е.,1,15,Сергелийский район,,,,,,Сегодня,https://www.olx.uz/d/obyavlenie/sergili-choshtepa-1hona-evra-remont-pustoy-300d-oila-ona-bola-arenda-ID2vX61.html
,400,у.е.,2,40,Сергелийский район,,,,,,Сегодня,https://www.olx.uz/d/obyavlenie/sergili-choshtepa-2hona-arenda-400d-srochno-esh-oilaga-ID3buW7.html
