title,company,location,link,salary_from,salary_to,currency,salary_avg,salary_uzs,level,role_type
Junior Data Analyst,Safia кондитерский дом,Ташкент,https://hh.ru/vacancy/128775504,6000000.0,,UZS,6000000.0,6000000.0,Junior,Data Analyst
Стажер: System-Business Analyst,InFinBank,Ташкент,https://hh.ru/vacancy/128381926,,,UZS,,,Junior,Data Analyst
AI-Менеджер в Кондитерский дом Safia,Safia кондитерский дом,Ташкент,https://hh.ru/vacancy/128778712,15000000.0,,UZS,15000000.0,15000000.0,Not specified,Other
Regional savdo agenti (mahalliy aholi bilan ishlash),XALMIRZAYEV X. N,Гулистан,https://hh.ru/vacancy/128721105,2500000.0,10000000.0,UZS,6250000.0,6250000.0,Not specified,BI / Analytics
BI-аналитик,Simple Networking Solutions,Ташкент,https://hh.ru/vacancy/128694761,,,UZS,,,Not specified,BI / Analytics
Data Analyst DWH,UCMG,Ташкент,https://hh.ru/vacancy/128559574,,,UZS,,,Not specified,Data Analyst
Аналитик данных,ROODELL,Ташкент,https://hh.ru/vacancy/128623591,10000000.0,,UZS,10000000.0,10000000.0,Not specified,Other
Аналитик данных в департамент маркетинга,Korzinka (Anglesey food),Ташкент,https://hh.ru/vacancy/128673086,,,UZS,,,Not specified,Other
Аналитик данных,AGIO HEALTHCARE INTERNATIONAL,Ташкент,https://hh.ru/vacancy/128698084,6000000.0,10000000.0,UZS,8000000.0,8000000.0,Not specified,Other
Аналитик данных,MEROS PHARM,Самарканд,https://hh.ru/vacancy/128730832,3000000.0,9000000.0,UZS,6000000.0,6000000.0,Not specified,Other
Data Analyst (CVM),Ipotekabank OTP Group,Ташкент,https://hh.ru/vacancy/128698749,,,UZS,,,Not specified,Data Analyst
Data analyst,ООО Samsung Electronics Uzbekistan,Ташкент,https://hh.ru/vacancy/127808975,,,UZS,,,Not specified,Data Analyst
Senior Analyst / Junior Enterprise Architect,ООО «KPMG AUDIT»,Ташкент,https://hh.ru/vacancy/128732495,,,UZS,,,Junior,Data Analyst
Data Analyst,АО ANOR BANK,Ташкент,https://hh.ru/vacancy/128070743,,,UZS,,,Not specified,Data Analyst
Data Analyst,NAJOT TA’LIM MARKAZI,Ташкент,https://hh.ru/vacancy/128358299,19000000.0,33000000.0,UZS,26000000.0,26000000.0,Not specified,Data Analyst
Аналитик данных (Data analyst) в управление организации и проведения процессов переписи,Национальный комитет Республики Узбекистан по статистике,Ташкент,https://hh.ru/vacancy/127809568,12000000.0,15000000.0,UZS,13500000.0,13500000.0,Not specified,Data Analyst
Аналитик SQL,UBAYDULLAEV KAMAL BAXRAMOVICH,Ташкент,https://hh.ru/vacancy/128440758,90000.0,90000.0,UZS,90000.0,90000.0,Not specified,Other
Аналитик данных (взыскание задолженности),AVO.UZ,Ташкент,https://hh.ru/vacancy/128622775,,,UZS,,,Not specified,Other
Data Steward,PAYME,Ташкент,https://hh.ru/vacancy/128057131,,,UZS,,,Not specified,Other
Sotuvchi Manager,НОУ GOAL COAST,Ташкент,https://hh.ru/vacancy/127450413,3000000.0,25000000.0,UZS,14000000.0,14000000.0,Not specified,Other
AML аналитик,ASTERIUM,Ташкент,https://hh.ru/vacancy/128031244,,,UZS,,,Not specified,Other
Data Analyst,Ipotekabank OTP Group,Ташкент,https://hh.ru/vacancy/128412387,,,UZS,,,Not specified,Data Analyst
Data Protector Administrator,COSCOM ТМ Ucell,Ташкент,https://hh.ru/vacancy/128755278,,,UZS,,,Not specified,Other
Аналитик данных,Raqamli Rivojlanish departamenti,Ташкент,https://hh.ru/vacancy/127782689,,,UZS,,,Not specified,Other
Аналитик данных в сеть магазинов THE MART,KITCHEN STORE,Ташкент,https://hh.ru/vacancy/128458334,6000000.0,,UZS,6000000.0,6000000.0,Not specified,Other
Дата-аналитик,ЧП IFOR TOYS,Ташкент,https://hh.ru/vacancy/127779573,,,UZS,,,Not specified,Other
"Аналитик данных (BI, Tableau)",Octobank,Ташкент,https://hh.ru/vacancy/127897675,,,UZS,,,Not specified,BI / Analytics
Back end разработчик (PL/SQL; PostgreSQL),Fido-Biznes,Ташкент,https://hh.ru/vacancy/128461345,,,UZS,,,Not specified,Other
Power BI Senior Developer / BI-team lead,PROSIGHT DEV,Ташкент,https://hh.ru/vacancy/127983400,2200.0,3000.0,USD,2600.0,32500000.0,Senior,BI / Analytics
Intern/Staff (Project Finance & Infrastructure),EY Uzbekistan,Ташкент,https://hh.ru/vacancy/128480380,,,UZS,,,Junior,Other
Системный аналитик (middle/senior),«UZUM TECHNOLOGIES»,Ташкент,https://hh.ru/vacancy/127868514,,,UZS,,,Senior,Other
SQL/PL engineer,АКБ Агробанк,Ташкент,https://hh.ru/vacancy/127921975,,,UZS,,,Not specified,Data Engineer
